Instance; Heuristic; Execution; Score; Time(ms);
100-240-15-8.ophstw;1;4;515;24;
100-240-15-8.ophstw;1;5;539;26;
100-240-15-8.ophstw;1;6;687;26;
100-240-15-8.ophstw;1;7;602;24;
100-240-15-8.ophstw;1;8;600;22;
100-240-15-8.ophstw;1;9;537;22;
100-240-15-8.ophstw;1;10;539;21;
100-240-15-8.ophstw;2;1;610;20;
100-240-15-8.ophstw;2;2;594;23;
100-240-15-8.ophstw;2;3;638;23;
100-240-15-8.ophstw;2;4;521;23;
100-240-15-8.ophstw;2;5;502;21;
100-240-15-8.ophstw;2;6;657;22;
100-240-15-8.ophstw;2;7;453;24;
100-240-15-8.ophstw;2;8;705;24;
100-240-15-8.ophstw;2;9;535;22;
100-240-15-8.ophstw;2;10;677;23;
100-240-15-8.ophstw;3;1;610;21;
100-240-15-8.ophstw;3;2;627;22;
100-240-15-8.ophstw;3;3;634;21;
100-240-15-8.ophstw;3;4;549;22;
100-240-15-8.ophstw;3;5;502;22;
100-240-15-8.ophstw;3;6;619;27;
100-240-15-8.ophstw;3;7;453;24;
100-240-15-8.ophstw;3;8;690;28;
100-240-15-8.ophstw;3;9;536;26;
100-240-15-8.ophstw;3;10;685;23;
100-190-15-8.ophstw;1;1;417;35;
100-190-15-8.ophstw;1;2;627;22;
100-190-15-8.ophstw;1;3;538;25;
100-190-15-8.ophstw;1;4;464;20;
100-190-15-8.ophstw;1;5;426;24;
100-190-15-8.ophstw;1;6;427;21;
100-190-15-8.ophstw;1;7;436;29;
100-190-15-8.ophstw;1;8;433;22;
100-190-15-8.ophstw;1;9;415;24;
100-190-15-8.ophstw;1;10;465;21;
100-190-15-8.ophstw;2;1;372;20;
100-190-15-8.ophstw;2;2;619;19;
100-190-15-8.ophstw;2;3;563;24;
100-190-15-8.ophstw;2;4;475;19;
100-190-15-8.ophstw;2;5;402;19;
100-190-15-8.ophstw;2;6;394;22;
100-190-15-8.ophstw;2;7;489;24;
100-190-15-8.ophstw;2;8;400;20;
100-190-15-8.ophstw;2;9;435;20;
100-190-15-8.ophstw;2;10;458;19;
100-190-15-8.ophstw;3;1;372;23;
100-190-15-8.ophstw;3;2;619;20;
100-190-15-8.ophstw;3;3;547;21;
100-190-15-8.ophstw;3;4;469;19;
100-190-15-8.ophstw;3;5;400;18;
100-190-15-8.ophstw;3;6;408;18;
100-190-15-8.ophstw;3;7;488;22;
100-190-15-8.ophstw;3;8;423;18;
100-190-15-8.ophstw;3;9;443;22;
100-190-15-8.ophstw;3;10;474;23;
100-210-15-5.ophstw;1;1;524;15;
100-210-15-5.ophstw;1;2;622;16;
100-210-15-5.ophstw;1;3;668;15;
100-210-15-5.ophstw;1;4;661;18;
100-210-15-5.ophstw;1;5;572;15;
100-210-15-5.ophstw;1;6;511;17;
100-210-15-5.ophstw;1;7;573;15;
100-210-15-5.ophstw;1;8;589;18;
100-210-15-5.ophstw;1;9;614;15;
100-210-15-5.ophstw;1;10;556;14;
100-210-15-5.ophstw;2;1;589;14;
100-210-15-5.ophstw;2;2;493;16;
100-210-15-5.ophstw;2;3;626;16;
100-210-15-5.ophstw;2;4;574;18;
100-210-15-5.ophstw;2;5;551;18;
100-210-15-5.ophstw;2;6;624;14;
100-210-15-5.ophstw;2;7;449;14;
100-210-15-5.ophstw;2;8;523;19;
100-210-15-5.ophstw;2;9;653;16;
100-210-15-5.ophstw;2;10;574;16;
100-210-15-5.ophstw;3;1;589;15;
100-210-15-5.ophstw;3;2;654;15;
100-210-15-5.ophstw;3;3;668;14;
100-210-15-5.ophstw;3;4;574;15;
100-210-15-5.ophstw;3;5;585;26;
100-210-15-5.ophstw;3;6;600;22;
100-210-15-5.ophstw;3;7;477;15;
100-210-15-5.ophstw;3;8;526;17;
100-210-15-5.ophstw;3;9;653;18;
100-210-15-5.ophstw;3;10;574;20;
100-240-15-5.ophstw;1;1;529;17;
100-240-15-5.ophstw;1;2;705;17;
100-240-15-5.ophstw;1;3;653;17;
100-240-15-5.ophstw;1;4;750;19;
100-240-15-5.ophstw;1;5;664;17;
100-240-15-5.ophstw;1;6;642;18;
100-240-15-5.ophstw;1;7;674;16;
100-240-15-5.ophstw;1;8;544;16;
100-240-15-5.ophstw;1;9;692;16;
100-240-15-5.ophstw;1;10;691;16;
100-240-15-5.ophstw;2;1;628;16;
100-240-15-5.ophstw;2;2;595;16;
100-240-15-5.ophstw;2;3;604;17;
100-240-15-5.ophstw;2;4;567;21;
100-240-15-5.ophstw;2;5;618;16;
100-240-15-5.ophstw;2;6;655;18;
100-240-15-5.ophstw;2;7;574;19;
100-240-15-5.ophstw;2;8;513;16;
100-240-15-5.ophstw;2;9;592;20;
100-240-15-5.ophstw;2;10;589;17;
100-240-15-5.ophstw;3;1;631;16;
100-240-15-5.ophstw;3;2;619;16;
100-240-15-5.ophstw;3;3;604;19;
100-240-15-5.ophstw;3;4;586;17;
100-240-15-5.ophstw;3;5;592;21;
100-240-15-5.ophstw;3;6;646;24;
100-240-15-5.ophstw;3;7;486;17;
100-240-15-5.ophstw;3;8;492;19;
100-240-15-5.ophstw;3;9;622;17;
100-240-15-5.ophstw;3;10;589;17;
